number,phase,homeSlot,awaySlot,startsAt,nextMatchNumber,nextSlot,loserNextMatchNumber,loserNextSlot
number,phase,homeSlot,awaySlot,startsAt,nextMatchNumber,nextSlot,loserNextMatchNumber,loserNextSlot
73,ROUND_OF_32,2E,2I,2026-06-28T13:00:00-03:00,89,HOME,,
74,ROUND_OF_32,1A,3C/D/E/F/H,2026-06-28T17:30:00-03:00,89,AWAY,,
75,ROUND_OF_32,1L,3E/F/G/H/I/J,2026-06-29T16:00:00-03:00,90,HOME,,
76,ROUND_OF_32,2A,2B,2026-06-29T19:00:00-03:00,90,AWAY,,
77,ROUND_OF_32,1K,3D/E/I/J/K/L,2026-06-30T18:00:00-03:00,91,HOME,,
78,ROUND_OF_32,1F,2C,2026-06-30T22:00:00-03:00,91,AWAY,,
79,ROUND_OF_32,1C,3A/B/F/H/I,2026-07-01T16:00:00-03:00,92,HOME,,
80,ROUND_OF_32,2K,2L,2026-07-01T19:00:00-03:00,92,AWAY,,

89,ROUND_OF_16,W73,W74,2026-07-04T18:00:00-03:00,97,HOME,,
90,ROUND_OF_16,W75,W76,2026-07-04T22:00:00-03:00,97,AWAY,,
91,ROUND_OF_16,W77,W78,2026-07-05T17:00:00-03:00,98,HOME,,
92,ROUND_OF_16,W79,W80,2026-07-05T21:00:00-03:00,98,AWAY,,

97,QUARTER_FINAL,W89,W90,2026-07-09T17:00:00-03:00,101,HOME,,
98,QUARTER_FINAL,W91,W92,2026-07-10T16:00:00-03:00,101,AWAY,,

101,SEMI_FINAL,W97,W98,2026-07-14T16:00:00-03:00,104,HOME,103,HOME
102,SEMI_FINAL,W99,W100,2026-07-15T16:00:00-03:00,104,AWAY,103,AWAY

103,THIRD_PLACE,L101,L102,2026-07-18T18:00:00-03:00,,,
104,FINAL,W101,W102,2026-07-19T17:00:00-03:00,,,
