number,phase,groupName,homeSlot,awaySlot,homeTeam,awayTeam,startsAt
1,GROUP,A,A1,A2,México,África do Sul,
2,GROUP,A,A3,A4,Coreia do Sul,Repescagem UEFA D,
25,GROUP,A,A1,A3,México,Coreia do Sul,
26,GROUP,A,A4,A2,Repescagem UEFA D,África do Sul,
49,GROUP,A,A4,A1,Repescagem UEFA D,México,
50,GROUP,A,A2,A3,África do Sul,Coreia do Sul,
3,GROUP,B,B1,B2,Canadá,Suíça,
4,GROUP,B,B3,B4,Qatar,Repescagem UEFA A,
27,GROUP,B,B1,B3,Canadá,Qatar,
28,GROUP,B,B4,B2,Repescagem UEFA A,Suíça,
51,GROUP,B,B4,B1,Repescagem UEFA A,Canadá,
52,GROUP,B,B2,B3,Suíça,Qatar,
5,GROUP,C,C1,C2,Brasil,Marrocos,
6,GROUP,C,C3,C4,Haiti,Escócia,
29,GROUP,C,C1,C3,Brasil,Haiti,
30,GROUP,C,C4,C2,Escócia,Marrocos,
53,GROUP,C,C4,C1,Escócia,Brasil,
54,GROUP,C,C2,C3,Marrocos,Haiti,
7,GROUP,D,D1,D2,Estados Unidos,Paraguai,
8,GROUP,D,D3,D4,Austrália,Repescagem UEFA C,
31,GROUP,D,D1,D3,Estados Unidos,Austrália,
32,GROUP,D,D4,D2,Repescagem UEFA C,Paraguai,
55,GROUP,D,D4,D1,Repescagem UEFA C,Estados Unidos,
56,GROUP,D,D2,D3,Paraguai,Austrália,
